Filename,Output Written,Time Taken for Disambiguation,Compilable
2240927.java,True,1.1658706665039062,True
763710.java,True,0.7150859832763672,True
6378837.java,True,1.218055009841919,True
597134.java,True,2.067567825317383,True
6374428.java,True,1.6166048049926758,True
18560649.java,True,1.1659369468688965,True
11758299.java,True,1.8672633171081543,True
1704751.java,True,1.5666735172271729,True
6205829.java,True,1.0657484531402588,True
2525684.java,True,2.1176862716674805,True
7194282.java,True,1.4163858890533447,True
16360226.java,True,1.7669477462768555,True
15707123.java,True,1.0156769752502441,True
9496557.java,True,1.4665195941925049,True
13421722.java,True,1.2660715579986572,True
20128728.java,True,1.0658819675445557,True
4453922.java,True,1.2161335945129395,True
16466743.java,True,1.366215705871582,True
15737836.java,True,1.2659175395965576,True
11346465.java,True,1.3160748481750488,True
13396233.java,True,1.0155572891235352,True
10332410.java,True,1.5668179988861084,True
2913081.java,True,1.4665093421936035,True
7350139.java,True,1.2158472537994385,True
14864066.java,True,1.2661700248718262,True
21044594.java,True,1.3663008213043213,True
18613811.java,True,1.4664206504821777,True
14869434.java,True,1.4664232730865479,True
1307907.java,True,1.0157642364501953,True
15519967.java,True,1.0158116817474365,True
3874060.java,True,1.266118049621582,True
14537899.java,True,1.1659443378448486,True
4557988.java,True,1.3159065246582031,True
17608158.java,True,1.315993070602417,True
9979752.java,True,1.0658738613128662,True
11422574.java,True,1.2159335613250732,True
6387775.java,True,1.1659553050994873,True
14167175.java,True,1.1659736633300781,True
21266476.java,True,1.6166269779205322,True
1508162.java,True,1.616405963897705,True
21664406.java,True,0.9654576778411865,True
22899260.java,True,1.1159725189208984,True
19984810.java,True,2.418597936630249,True
10353862.java,True,0.965381383895874,True
10265164.java,True,1.0154690742492676,True
8389315.java,True,1.0658164024353027,True
16797551.java,True,1.1659679412841797,True
9049566.java,True,1.216008186340332,True
16556715.java,True,1.4665741920471191,True
4166046.java,True,2.0173285007476807,True
912635.java,True,1.71671462059021,True
272875.java,True,1.9172608852386475,True
19279820.java,True,0.9152696132659912,True
22237326.java,True,1.6670217514038086,True
820905.java,True,2.1180198192596436,True
21247844.java,True,1.0155301094055176,True
7631411.java,True,1.1157619953155518,True
10432260.java,True,1.2161004543304443,True
11334494.java,True,1.215923547744751,True
6185786.java,True,1.1156761646270752,True
1708100.java,True,1.0661413669586182,True
5505322.java,True,1.3662149906158447,True
18575609.java,True,1.366398572921753,True
78966.java,True,2.2176177501678467,True
16023045.java,True,1.1158392429351807,True
16502637.java,True,1.316025972366333,True
23677139.java,True,0.665055513381958,True
17806538.java,True,1.7670083045959473,True
483411.java,True,1.7168421745300293,True
3365958.java,True,0.6651802062988281,True
16069456.java,True,1.2159903049468994,True
22254271.java,True,1.3163042068481445,True
569812.java,True,1.7208251953125,True
11397480.java,True,1.1658079624176025,True
1543361.java,True,1.2660021781921387,True
20329236.java,True,1.6666746139526367,True
9480908.java,True,1.3173103332519531,True
17808807.java,True,1.86696195602417,True
4787102.java,True,1.0155863761901855,True
3167055.java,True,1.2159972190856934,True
7823490.java,True,1.1158292293548584,True
388884.java,True,1.9175620079040527,True
20886787.java,True,1.1157705783843994,True
16553581.java,True,2.021941661834717,True
16061197.java,True,1.1659860610961914,True
11334496.java,True,1.0155842304229736,True
21009957.java,True,1.065746784210205,True
18634052.java,True,1.21644926071167,True
637320.java,True,1.416428804397583,True
12202844.java,True,1.5166590213775635,True
12044335.java,True,1.2661328315734863,True
8664461.java,True,1.2166528701782227,True
253908.java,True,0.8662676811218262,True
23058336.java,True,0.915593147277832,True
9834229.java,True,1.6167442798614502,True
5080720.java,True,0.9154055118560791,True
11073250.java,True,1.065704584121704,True
15453012.java,True,2.468348979949951,True
16116225.java,True,1.065622091293335,True
9632237.java,True,1.2160556316375732,True
18327511.java,True,1.566584587097168,True
811157.java,True,2.268076181411743,True
19557480.java,True,1.1659340858459473,True
14439002.java,True,1.3161144256591797,True
21009956.java,True,0.9156088829040527,True
19332852.java,True,1.066756010055542,True
21571495.java,True,0.8654673099517822,True
15123906.java,True,1.3663032054901123,True
18356796.java,True,0.9656286239624023,True
6028953.java,True,1.3664004802703857,True
14691829.java,True,1.3669953346252441,True
22534224.java,True,1.366340160369873,True
19205402.java,True,1.4164786338806152,True
7952921.java,True,1.0664632320404053,True
12214889.java,True,1.416454553604126,True
20275821.java,True,1.6667747497558594,True
160203.java,True,1.416280746459961,True
5086587.java,True,1.0157191753387451,True
9737790.java,True,1.0658502578735352,True
22431492.java,True,1.4179673194885254,True
20190303.java,True,1.0156912803649902,True
12270268.java,True,1.2161381244659424,True
7419810.java,True,1.2661628723144531,True
12065181.java,True,6.676327466964722,True
316912.java,True,0.915428876876831,True
14590676.java,True,1.3663713932037354,True
4456641.java,True,1.0657806396484375,True
5450104.java,True,1.4665229320526123,True
9456659.java,True,1.1688194274902344,True
1180878.java,True,1.5664770603179932,True
17385831.java,True,0.9654889106750488,True
18305036.java,True,1.3662126064300537,True
19416288.java,True,1.2660439014434814,True
4139266.java,True,1.666743278503418,True
4877333.java,True,1.3662607669830322,True
13335071.java,True,1.1658761501312256,True
8883153.java,True,0.9655942916870117,True
14341826.java,True,1.3162314891815186,True
13555475.java,True,0.9154415130615234,True
1863400.java,True,1.466398000717163,True
22726124.java,True,1.1159367561340332,True
23517481.java,True,1.4164671897888184,True
1293657.java,True,1.5165948867797852,True
22415294.java,True,1.8169498443603516,True
6668684.java,True,1.3160970211029053,True
16378761.java,True,1.3161306381225586,True
23124633.java,True,1.1657543182373047,True
2396191.java,True,1.71683669090271,True
11941001.java,True,1.3725411891937256,True
20779727.java,True,1.218165636062622,True
13012591.java,True,1.3666260242462158,True
11418746.java,True,1.1658098697662354,True
6920765.java,True,0.6649701595306396,True
20200144.java,True,1.3663787841796875,True
4779156.java,True,1.8677773475646973,True
19322906.java,True,0.965583086013794,True
12971450.java,True,0.9656107425689697,True
15115748.java,True,0.8154056072235107,True
8416636.java,True,1.1659817695617676,True
18973292.java,True,1.2660319805145264,True
4223002.java,True,1.2661609649658203,True
397240.java,True,2.267969846725464,True
8490710.java,True,1.8171565532684326,True
11970147.java,True,1.7169535160064697,True
19812872.java,True,1.0658588409423828,True
6191498.java,True,1.1660196781158447,True
5723876.java,True,1.4664726257324219,True
5697523.java,True,1.3661346435546875,True
19693366.java,True,1.3662550449371338,True
7237429.java,True,1.1658146381378174,True
9096315.java,True,1.9172618389129639,True
9354771.java,True,1.3662474155426025,True
19040459.java,True,1.6170697212219238,True
9307757.java,True,1.1157419681549072,True
3745402.java,True,1.3162517547607422,True
8512998.java,True,1.9173974990844727,True
743717.java,True,1.266209363937378,True
20544327.java,True,1.0157959461212158,True
16850376.java,True,0.91558837890625,True
22319064.java,True,1.76707124710083,True
9141694.java,True,1.3674888610839844,True
10252057.java,True,1.3161237239837646,True
23677143.java,True,0.7151656150817871,True
10778361.java,True,1.5166900157928467,True
15102903.java,True,1.0157287120819092,True
3945236.java,True,1.6167449951171875,True
19279420.java,True,1.416426420211792,True
23647453.java,True,1.5666780471801758,True
11228284.java,True,1.36602783203125,True
1949890.java,True,0.865556001663208,True
6605492.java,True,1.2661983966827393,True
16899717.java,True,1.0157084465026855,True
3597356.java,True,1.0658326148986816,True
15607448.java,True,1.3681483268737793,True
23147990.java,True,1.1160054206848145,True
7564560.java,True,1.2159273624420166,True
7135601.java,True,1.4666366577148438,True
23115934.java,True,1.2660548686981201,True
