Filename,Output Written,Time Taken for Disambiguation,Compilable
22998999.java,True,1.2157855033874512,True
7938416.java,True,3.0693817138671875,True
14617443.java,True,2.6242475509643555,True
843811.java,True,1.5667877197265625,True
9054825.java,True,1.6166014671325684,True
22560734.java,True,1.9670860767364502,True
14212320.java,True,1.6166586875915527,True
11560551.java,True,1.4162497520446777,True
3992912.java,True,1.535172700881958,True
12039035.java,True,1.9172465801239014,True
19321031.java,True,2.019134759902954,True
15129155.java,True,1.8670923709869385,True
1262833.java,True,1.9226458072662354,True
20210699.java,True,6.682168960571289,True
23677145.java,True,0.7652420997619629,True
12641711.java,True,1.8677003383636475,True
1953115.java,True,1.215904712677002,True
20174962.java,True,1.3661925792694092,True
8801182.java,True,2.568621873855591,True
8515619.java,True,9.936737298965454,True
20886320.java,True,2.085101842880249,True
20597304.java,True,1.5666172504425049,True
9110357.java,True,1.3161404132843018,True
10236283.java,True,2.418410539627075,True
21609545.java,True,1.8172767162322998,True
21113767.java,True,1.6667723655700684,True
18544890.java,True,1.8679285049438477,True
22717352.java,True,2.268345355987549,True
3197876.java,True,1.517204761505127,True
18284811.java,True,1.5173404216766357,True
322658.java,True,2.61944317817688,True
8126683.java,True,3.0193421840667725,True
4897872.java,True,2.6202378273010254,True
6171406.java,True,2.1176531314849854,True
12039036.java,True,1.917370319366455,True
13260090.java,True,1.4163727760314941,True
13964423.java,True,1.5670812129974365,True
22550493.java,True,1.867182731628418,True
20210696.java,True,2.369403600692749,True
19246986.java,True,1.4666216373443604,True
20587078.java,True,1.7181811332702637,True
658771.java,True,1.4664950370788574,True
10107377.java,True,1.466299057006836,True
7839474.java,True,1.7212743759155273,True
12214442.java,True,2.6688344478607178,True
5705521.java,True,2.1175577640533447,True
8344458.java,True,1.4163281917572021,True
22287078.java,True,1.6167535781860352,True
9816121.java,True,2.1676106452941895,True
5553312.java,True,1.3160479068756104,True
9951727.java,True,2.267969846725464,True
1039796.java,True,1.4162890911102295,True
5984971.java,True,1.466949462890625,True
5683576.java,True,4.526410102844238,True
17785594.java,True,1.7168247699737549,True
14484136.java,True,2.0242345333099365,True
19925085.java,True,12.441751480102539,True
14619453.java,True,2.321977376937866,True
1829463.java,True,9.401930093765259,True
4928531.java,True,2.368849039077759,True
21361961.java,True,1.7168118953704834,True
20085553.java,True,1.926194429397583,True
9236363.java,True,2.368277072906494,True
6634379.java,True,1.71675443649292,True
8665321.java,True,1.766982078552246,True
1951103.java,True,2.922245740890503,True
12238227.java,True,2.167699098587036,True
3298291.java,True,1.7170653343200684,True
7170603.java,True,2.3703668117523193,True
4854974.java,True,5.026027202606201,True
14481927.java,True,1.7190344333648682,True
17407851.java,True,3.219921112060547,True
11101257.java,True,1.7973968392537572,True
17453400.java,True,2.9195079803466797,True
23677146.java,True,0.8651554584503174,True
129856.java,True,4.785238027572632,True
1812522.java,True,2.5683956146240234,True
13362846.java,True,3.123187303543091,True
8559629.java,True,2.367875337600708,True
6085964.java,True,1.266188144683838,True
22448399.java,True,3.171125650405884,True
20655776.java,True,3.878577709197998,True
19090290.java,True,1.516484260559082,True
4854975.java,True,3.926912546157837,True
15287816.java,True,1.7723207473754883,True
9251223.java,True,3.2698187828063965,True
13041693.java,True,1.7174651622772217,True
20539816.java,True,1.6164608001708984,True
12104132.java,True,2.4186336994171143,True
6182434.java,True,1.7168138027191162,True
13536693.java,True,2.3720765113830566,True
17404914.java,True,2.367929697036743,True
16190704.java,True,1.8186054229736328,True
14899566.java,True,2.7207720279693604,True
12082135.java,True,2.673063278198242,True
21933390.java,True,1.5201168060302734,True
18377056.java,True,1.8671650886535645,True
16339641.java,True,3.23138689994812,True
956075.java,True,3.169682741165161,True
20287675.java,True,5.277003526687622,True
6613944.java,True,1.3662071228027344,True
16969205.java,True,1.9673259258270264,True
7916951.java,True,1.6197550296783447,True
1677875.java,True,1.5666141510009766,True
20514301.java,True,1.9690017700195312,True
4042184.java,True,2.219416379928589,True
10332951.java,True,3.2195119857788086,True
18458055.java,True,1.4663605690002441,True
5380645.java,True,1.6169705390930176,True
19409756.java,True,1.8672399520874023,True
15706546.java,True,2.221301317214966,True
11645345.java,True,2.468337059020996,True
22967207.java,True,1.5169765949249268,True
3447266.java,False,TIMEOUT,False
9036637.java,True,2.7686686515808105,True
13556011.java,True,1.7732114791870117,True
10236284.java,True,59.39762091636658,True
11188584.java,True,2.318507194519043,True
8805074.java,True,2.2182772159576416,True
8205040.java,True,2.8692800998687744,True
4684838.java,True,1.1658482551574707,True
20467314.java,True,2.2194650173187256,True
14549213.java,True,2.976250648498535,True
2691849.java,True,1.9208359718322754,True
9209383.java,True,2.21785044670105,True
17901739.java,True,2.568342447280884,True
19919874.java,True,2.9707698822021484,True
19251430.java,True,1.6182124614715576,True
3287281.java,True,3.7715084552764893,True
18723566.java,True,2.018597364425659,True
23041162.java,True,2.669323444366455,True
8014777.java,True,2.825800657272339,True
7844497.java,True,2.618480920791626,True
18207261.java,True,3.3701088428497314,True
21273058.java,True,1.2661030292510986,True
20491150.java,True,2.768850088119507,True
3461964.java,True,2.119614601135254,True
20210697.java,True,3.5708320140838623,True
10540676.java,True,3.7713265419006348,True
10242903.java,True,1.7166781425476074,True
12097099.java,True,3.370924472808838,True
12082150.java,True,5.084041357040405,True
11101258.java,True,2.0673434734344482,True
